,Dataset,Accuracy,Train_Accuracy,Loss,Train-Loss
0,dataset,0.6527404621171413,0.7905476991109678,0.7837004259101346,0.5995094166959033
1,dataset_sample,0.737775389575497,0.8909668800958128,0.637140784253422,0.42037450767615264
2,dataset_dc,0.8170172386525384,0.9606875610020605,0.5018073612391346,0.2785674127843553
3,dataset_sample_dc,0.8865894039735099,0.9858075503831961,0.37945582678443507,0.19910371064075402
4,dataset_l,0.6204997313272435,0.8287806900363904,0.8328432119809664,0.532525212361532
5,dataset_st,0.5847662547017732,0.7835920585932102,0.8892993580581795,0.6147843953441171
