,Dataset,Accuracy,Train_Accuracy,Loss,Train-Loss
0,dataset,0.6988178398710371,0.9200792298125201,0.9288174856422294,0.251435878226424
1,dataset_sample,0.7835840945728103,0.9005481597494127,0.6421869371691321,0.2950595445054419
2,dataset_dc,0.8358374189467025,0.984220800347034,0.6341605442340927,0.06963971072073162
3,dataset_sample_dc,0.8981788079470199,0.9843883054215158,0.3592739379719684,0.07683169638871082
4,dataset_l,0.6749059645351961,0.9178221014325856,0.992684031653608,0.26579933872117717
5,dataset_st,0.5816765180010747,0.8016490856326869,1.0685403764757335,0.517935710356516
